,name,online_order,book_table,rating,votes,location,rest_type,dish_liked,cuisines,approx_cost,type
14387,India Garden,Yes,No,3.3,211,Electronic City,Casual Dining,"Tandoori Chicken, Burgers","North Indian, Chinese, Fast Food, Beverages",550,Delivery
14388,Dande Hyderabad Biryani,Yes,No,0,0,Electronic City,Quick Bites,NA,"Biryani, Andhra, North Indian",500,Delivery
14389,Royal Bengal Corner,Yes,No,3.8,307,Electronic City,Quick Bites,"Rolls, Paratha, Panneer Butter Masala","Chinese, Fast Food, North Indian, Rolls",250,Delivery
14390,Tikka Kebab,Yes,No,3.7,69,Electronic City,Quick Bites,NA,"Kebab, North Indian, Chinese",250,Delivery
14391,The Pastry House,Yes,No,3.8,60,Electronic City,Bakery,NA,"Bakery, Desserts",400,Delivery
14392,Sri Krishna Sagar,Yes,No,3.5,9,Electronic City,Takeaway,NA,"South Indian, North Indian",300,Delivery
14393,Laddoos,Yes,No,4,407,Electronic City,"Quick Bites, Sweet Shop","Panipuri, Chaat, Gol Gappe, Thali, Rasgulla, Dhokla, Raj Kachori","North Indian, Street Food, Mithai",250,Delivery
14394,Andhra Kitchen,Yes,No,3.9,45,Electronic City,Quick Bites,NA,Andhra,400,Delivery
14395,Food Ras,Yes,Yes,4.3,1386,Electronic City,Casual Dining,"Chicken Majestic, Lasagne, Hara Bhara Kabab, Lassi, Biryani, Paneer Tikka, Fish","North Indian, Chinese, Japanese, European, Seafood",900,NA
14396,UBQ by Barbeque Nation,Yes,No,3.6,13,Electronic City,Delivery,NA,"North Indian, BBQ, Biryani, Kebab",450,Delivery
14397,Ovenstory Pizza,Yes,No,4,55,Hosur Road,Delivery,"Pizza, Garlic Bread",Pizza,750,Delivery
14398,Notebook Food Court,Yes,No,4,220,Electronic City,Quick Bites,NA,"Chinese, North Indian, Rolls",300,Delivery
14399,11 to 11 Express Biriyanis,Yes,No,3.5,22,Electronic City,Quick Bites,NA,"Biryani, Kebab",300,Delivery
14400,MRA,Yes,No,0,0,Electronic City,"Takeaway, Delivery",NA,Bakery,200,Delivery
14401,Magic Bowl,Yes,No,3.6,98,Electronic City,Casual Dining,Vegetable Biryani,"North Indian, Chinese, Arabian, Mughlai",700,NA
14402,Fujian Express,Yes,No,0,0,Electronic City,"Takeaway, Delivery",NA,"Chinese, Thai",200,Delivery
14403,Maa Tara Hotel,Yes,No,3.8,50,Electronic City,Quick Bites,NA,"Chinese, North Indian",400,Delivery
14404,NY Pizza & Waffles,Yes,No,3.1,273,Electronic City,Quick Bites,"Pizza, Waffles","Pizza, Desserts",400,Delivery
14405,Sweet Truth,Yes,No,3.9,81,Electronic City,Delivery,"Cheesecake, Chocolate Decadence, Chocolate Fantasy, Pancakes, Gulab Jamun, Chocolava Cake","Bakery, Desserts",500,Delivery
14406,Just Fresh Point,Yes,No,4,162,Electronic City,Quick Bites,"Sandwiches, Chaat, Rasmalai, Pizza, Ginger Tea, Sandwich, Paratha","Street Food, American, Sandwich, Fast Food, Beverages, Burger, Desserts, Pizza",300,Delivery
14407,Khana Khazana,Yes,No,3.6,15,Electronic City,Quick Bites,NA,North Indian,300,Delivery
14409,CakeZone,Yes,No,0,0,Electronic City,"Takeaway, Delivery",NA,"Bakery, Desserts",200,Delivery
14410,Juice Shop,Yes,No,0,0,Electronic City,"Takeaway, Delivery",NA,"Juices, Beverages, Ice Cream",150,Delivery
14411,Nagas,Yes,No,0,0,Electronic City,Quick Bites,NA,"Andhra, Hyderabadi, North Indian",300,Delivery
14412,Kababji Cafe,Yes,No,0,0,Electronic City,Quick Bites,NA,"Biryani, Rolls, Middle Eastern, Arabian, Charcoal Chicken",300,Delivery
14413,Recipe Box,Yes,No,0,0,Electronic City,Quick Bites,NA,"Chinese, Beverages",400,Delivery
14414,This Cafe Has No Name Cafe,Yes,No,3.2,79,Electronic City,Cafe,"Sandwiches, Rolls, Coffee, Burgers, French Fries","Cafe, Beverages",500,Delivery
14416,MAD Belgian Waffles,Yes,No,3.8,12,Electronic City,Dessert Parlor,NA,Desserts,250,Delivery
14417,Pan's Aroma,Yes,No,2.9,244,Electronic City,Quick Bites,NA,"Bengali, Biryani, North Indian, Chinese, Fast Food",400,Delivery
14418,Bawarchi Restaurant,Yes,No,2.7,53,Electronic City,"Takeaway, Delivery",NA,"North Indian, Chinese, Biryani, Rolls",400,Delivery
14419,Ande Ka Funda,Yes,No,3.4,16,Electronic City,Quick Bites,NA,"North Indian, Fast Food, Rolls",200,Delivery
14420,Samosa Singh,Yes,No,4,426,Electronic City,Quick Bites,"Samosa Chat, Tea, Aloo Samosa, Chai, Ginger Paneer, Burger Samosa, Chicken Kebab","Street Food, Beverages",150,Delivery
14421,Biriyani Zone,Yes,No,3.9,678,Electronic City,Casual Dining,"Mutton Biryani, Tandoori Chicken, Butter Naan, Fish, Butter Chicken, Chicken Boneless Biryani, Vegetable Biryani","Biryani, North Indian, Chinese, Seafood",800,Delivery
14422,Volga Restaurant,Yes,No,3.7,294,Electronic City,Casual Dining,"Kerala Parotta, Tandoori Chicken","North Indian, Chinese, Middle Eastern",500,Delivery
14423,The Elaichi Restaurant,Yes,No,3.6,399,Electronic City,Casual Dining,"Momos, Butter Chicken, Fish, Rolls, Laccha Paratha, Salad, Tandoori Chicken","North Indian, Asian, Continental, Bengali, Momos",700,Delivery
14424,Fishing Boat - Hotel Goyal Residency,Yes,Yes,3.9,418,Electronic City,Casual Dining,"Sea Food, Prawn Biryani, Neer Dosa, Crab Sukha, Chicken Biryani, Fish, Murgh Ghee Roast","Seafood, North Indian, Chinese, Biryani",800,Delivery
14425,Nandanam Restaurant,Yes,No,3.8,50,Electronic City,"Takeaway, Delivery",NA,"North Indian, South Indian",400,Delivery
14426,Bangalore Agarwal Bhavan,Yes,No,3.6,20,Electronic City,"Quick Bites, Sweet Shop",NA,"North Indian, Street Food, Mithai, Chinese",500,Delivery
14427,Chai Cafe,Yes,No,3.6,10,Electronic City,Quick Bites,NA,"Fast Food, Rolls",300,Delivery
14428,Sila Restaurant,Yes,No,3.8,514,Electronic City,Casual Dining,"Mocktails, Dal Makhani, Masala Papad, Kulcha, Panneer Butter Masala, Chilli Paneer, Chicken Biryani","Chinese, Seafood, North Indian, Biryani, Desserts",750,Delivery
14429,VMS Star Biriyani,Yes,No,3.2,9,Electronic City,Casual Dining,NA,"Biryani, North Indian",500,Delivery
14430,WOW! Momo,Yes,No,0,0,Electronic City,Food Court,NA,"Tibetan, Momos",400,Delivery
14431,Parampara - The Veg Kitchen,Yes,No,3.7,255,Electronic City,Quick Bites,"Lassi, Vada Pav, Chole Bhature, Thali","North Indian, Chinese, Street Food",350,Delivery
14432,Kettle On,Yes,No,3.7,110,Electronic City,Quick Bites,"Tea, Masala Poha, Chicken Roll, Pasta","Fast Food, Sandwich, Beverages",400,Delivery
14433,Baskin Robbins,Yes,No,3.8,108,Electronic City,Food Court,NA,"Ice Cream, Desserts",250,Delivery
14434,Shanmukha,Yes,No,0,0,Electronic City,"Takeaway, Delivery",NA,"Biryani, Seafood, Chinese, Charcoal Chicken",400,Delivery
14435,Cafe Coffee Day,Yes,No,3.2,75,Electronic City,Cafe,"Coffee, Burgers, Cappuccino, Latte, Smoked Chicken Sandwich","Cafe, Fast Food",900,Delivery
14436,Five Star Chicken,Yes,No,3.2,66,Electronic City,Quick Bites,NA,"Fast Food, Burger",200,Delivery
14437,Just Shawarma,Yes,No,3.9,176,Electronic City,Kiosk,"Whole Meat Shawarma, Wheat Shawarma, Pita Bread, Malgoum Shawarma, French Fries",Arabian,300,Delivery
14438,The Milkshake Theory,Yes,No,3.6,10,Electronic City,Beverage Shop,NA,"Beverages, Fast Food",400,Delivery
14439,Sunny's,Yes,No,3,13,Electronic City,Quick Bites,NA,"Sandwich, Fast Food, Salad, Bakery, Juices",300,Delivery
14440,Cafe Palnad,Yes,No,4,92,Electronic City,Quick Bites,"Pizza Dosa, Chicken Kheema Dosa, Keema Dosa, Masala Dosa","South Indian, Fast Food",400,Delivery
14441,Pattikattan Biriyani,Yes,No,0,0,Electronic City,Quick Bites,NA,"Biryani, North Indian",300,Delivery
14442,Andhra Spicy Food Court,Yes,No,3.2,22,Electronic City,Quick Bites,NA,"Andhra, Biryani",400,Delivery
14443,Esfahan Restaurant,Yes,No,3.5,148,Electronic City,Casual Dining,"Rolls, Mutton Biryani, Tawa Mutton, Chicken Roll, Laccha Paratha, Tawa Chicken","North Indian, Lucknowi, Mughlai, Biryani",700,Delivery
14444,Kathi Junction,Yes,No,2.8,44,Electronic City,Quick Bites,NA,"Rolls, North Indian, Mughlai",400,Delivery
14445,Satkar Restaurant,Yes,No,3.6,75,Electronic City,Quick Bites,Dal Fry,"North Indian, Chinese, Biryani, Seafood",350,Delivery
14446,Yeruva Biriyani,Yes,No,3.5,40,Electronic City,Delivery,NA,"Biryani, Chinese",400,Delivery
14447,Biryani Darbar,Yes,No,0,0,Electronic City,Quick Bites,NA,"Biryani, Andhra, Chinese, North Indian",550,Delivery
14448,Swad 'E' Punjab,Yes,No,0,0,Electronic City,Quick Bites,NA,"North Indian, Chinese, Fast Food, Biryani",500,Delivery
14449,Kolkata Famous Kathi Rolls,Yes,No,3.5,14,Electronic City,Quick Bites,NA,"Fast Food, Rolls",200,Delivery
14450,Ambur Biriyani Classic,Yes,No,3.3,136,Electronic City,Casual Dining,NA,"Biryani, South Indian, North Indian",700,Delivery
14451,Marley's Bistro,Yes,No,3.9,93,Electronic City,Casual Dining,"Burgers, Pancakes, Tea, Pasta, Coffee, Omelette, Crepe","Continental, European, Salad, Beverages, Italian, Burger",400,Delivery
14453,Hyderabad Darbar,Yes,No,3.7,100,Electronic City,Casual Dining,Paneer Biryani,"Andhra, South Indian",700,Delivery
14454,Hotel Sakti Saravana,Yes,No,3.8,67,Electronic City,Quick Bites,NA,"Tamil, South Indian",350,Delivery
14456,Bowl House Kitchen,Yes,No,0,0,Electronic City,"Takeaway, Delivery",NA,"North Indian, Biryani, Asian",400,Delivery
14457,Z Cafe,Yes,No,3.6,19,Electronic City,Quick Bites,NA,"Chinese, Fast Food, Beverages",300,Delivery
14458,Swathi Restaurant - The Vintage Inn,Yes,No,3.8,36,Electronic City,Casual Dining,NA,"Andhra, North Indian",900,Delivery
14461,Paratha House,Yes,No,3.6,33,Electronic City,Quick Bites,NA,"North Indian, Chinese",350,Delivery
14462,The Mirchi,Yes,No,3.3,22,Electronic City,"Takeaway, Delivery",NA,"Chinese, North Indian, Bengali",400,Delivery
14463,Prem's Biriyani,Yes,No,3.3,7,Electronic City,Quick Bites,NA,"Biryani, Fast Food",300,Delivery
14464,Mast Punjabi Spice,Yes,No,2.9,34,Electronic City,"Takeaway, Delivery",NA,North Indian,400,Delivery
14465,Thanima Garden Restaurant,Yes,No,3.6,163,Electronic City,Casual Dining,"Kadala Curry, Kerala Parotta, Tea, Paratha, Sea Food, Appam, Biryani","North Indian, Chinese, Kerala",500,NA
14466,Bhukkads,Yes,No,3.2,63,Electronic City,Casual Dining,Chicken Biryani,"Chinese, North Eastern",400,Delivery
14467,Karaikudi Restaurant,Yes,No,3.7,214,Electronic City,Quick Bites,"Paratha, Chicken Curry, Biryani",South Indian,300,NA
14468,Mamaji's,Yes,No,3.6,453,Electronic City,Casual Dining,"Masala Chaach, Vegetable Biryani, Paratha, Thali, Buttermilk, Sweet Lassi, Paneer Parantha",North Indian,600,Delivery
14469,Bangaliana,Yes,No,3,61,Electronic City,Casual Dining,"Luchi, Fish Fry",Bengali,600,Delivery
14470,Tuba Rolls & Snacks,Yes,No,3,58,Electronic City,Quick Bites,NA,"Chinese, Fast Food, North Indian, Rolls",200,Delivery
14471,Peril Enthirikkunnu,Yes,No,0,0,Electronic City,Quick Bites,NA,"Kerala, South Indian",250,Delivery
14473,Wangs Kitchen,Yes,No,2.5,55,Electronic City,"Takeaway, Delivery",NA,Chinese,1000,Delivery
14474,New Food Magic,Yes,No,3.2,153,Electronic City,Casual Dining,"Roti, Rolls, Paratha, Chicken Roll","Andhra, Chinese, North Indian, South Indian",450,Delivery
14475,True South,Yes,No,0,0,Electronic City,Quick Bites,NA,"Beverages, Fast Food",200,Delivery
14476,Akshara,Yes,No,3.8,42,Electronic City,Casual Dining,NA,"North Indian, South Indian, Chinese",700,Delivery
14477,Kittu's,Yes,Yes,4.2,800,Electronic City,Casual Dining,"Murgh Lababdar, Butter Chicken, Paneer Lababdar, Dal Makhani, Afghan Chicken, Chicken Achari Tikka, Lassi",North Indian,750,Delivery
14478,EC Dine Restaurant,Yes,No,3.4,23,Electronic City,Casual Dining,NA,"South Indian, North Indian, Kerala",500,Delivery
14480,Bangarpet Chats Adda,Yes,No,0,0,Electronic City,Quick Bites,NA,"Street Food, Sandwich, Beverages",200,Delivery
14481,Udupi Food Junction,Yes,No,3.5,9,Electronic City,Quick Bites,NA,"South Indian, North Indian",250,Delivery
14483,She Brews,Yes,No,3.8,159,Electronic City,Cafe,"Coffee, Sandwich, Peri Peri Fries, Peri Peri Sizzler, White Sauce Pasta","Cafe, Continental, Thai, Chinese",400,Delivery
14484,Maa Biryani Hyderabadi,Yes,No,2.6,59,Electronic City,Delivery,NA,Biryani,450,Delivery
14485,Chef Baker's,Yes,No,3.8,101,Electronic City,"Bakery, Quick Bites","Pizza, Waffles, Pasta, Sandwiches, Garlic Bread, Chicken Grill, Cheese Sandwich","Bakery, Fast Food, Pizza, Burger, Cafe",600,Delivery
14486,Curries 'N' Phulkas,Yes,No,3.4,6,Electronic City,Quick Bites,NA,North Indian,250,Delivery
14487,Donut Cafe,Yes,No,3.9,163,Electronic City,"Dessert Parlor, Quick Bites","Donut, Brownie, Hot Chocolate, Sandwiches","Desserts, Fast Food",250,Delivery
14489,Halli Kitchen,Yes,No,2.5,63,Electronic City,Quick Bites,NA,South Indian,300,Delivery
14490,Hotel Uma Bhai,Yes,No,3.7,38,Electronic City,Quick Bites,NA,North Indian,400,Delivery
14491,Kettle & Kegs,Yes,No,3.1,16,Electronic City,Delivery,NA,"Tea, Beverages",200,Delivery
14492,Biggies Burger 'n' More,Yes,No,3.9,176,Electronic City,Quick Bites,"Burgers, Chicken Bbq Burger, Mojito, French Fries, Hot Dog, Lamb Burger, Paneer Burger","Cafe, Burger, Beverages",650,Delivery
14493,Vov Shawarma,Yes,No,3.2,6,Electronic City,Quick Bites,NA,Fast Food,200,Delivery
14494,7 Shanghai,Yes,No,3.5,18,Electronic City,Quick Bites,NA,Chinese,250,Delivery
14495,Annapurna Andhra Hotel,Yes,No,3.3,5,Electronic City,Quick Bites,NA,"Mughlai, Chinese, North Indian",400,Delivery
14496,Hotel Avakay,Yes,No,3.6,27,Electronic City,Casual Dining,NA,"Andhra, North Indian, Chinese, Biryani",550,Delivery
14498,BIB - Breakfast in the Box,Yes,No,3.9,56,Electronic City,Quick Bites,"Chicken Burger, Corn Sandwich, French Fries, Veg Burger","American, Sandwich",600,Delivery
14500,Chivi's Meilleurs Boulangers,Yes,No,3.4,12,Electronic City,Quick Bites,NA,"South Indian, Bakery, Fast Food",300,Delivery
14501,Mr. Meetharam,Yes,No,3.3,7,Electronic City,Quick Bites,NA,"Mithai, Street Food",150,Delivery
14502,King's Appetite,Yes,No,3.7,45,Electronic City,"Food Court, Quick Bites",Prompt Service,"North Indian, Chinese",500,Delivery
14503,Thanco's Natural Ice Creams,Yes,No,3.7,54,Electronic City,Dessert Parlor,Belgian Chocolate,"Ice Cream, Desserts",450,Delivery
14504,Cakes Wagon,Yes,No,3.4,36,Electronic City,Bakery,NA,"Bakery, Desserts",600,Delivery
14505,Cake Menu,Yes,No,3.3,23,Electronic City,Bakery,NA,Bakery,400,Delivery
14506,A2B - Adyar Ananda Bhavan,Yes,No,3.1,352,Electronic City,Casual Dining,"Chaat, Masala Dosa, Filter Coffee, Pav Bhaji, Curd Rice, Vada, Idli","South Indian, North Indian, Chinese, Street Food, Fast Food",400,Delivery
14508,Pot Biryani,Yes,No,2.8,297,Electronic City,Quick Bites,"Pot Biryani, Paneer Biryani, Tandoori Chicken, Chicken Chettinad, Egg Biryani, Chicken Dum Biryani, Kulcha","North Indian, Chinese, Biryani, Seafood",600,Delivery
14509,Hottey Smokey,Yes,No,0,0,Electronic City,"Takeaway, Delivery",NA,"Asian, Salad, Italian",400,Delivery
14511,OrganicFeast,Yes,No,2.9,45,Electronic City,Quick Bites,NA,"North Indian, Chinese, Healthy Food",400,Delivery
14512,Manasa Andhra Style Multi Cuisine Restaurant,No,No,3.6,70,Electronic City,Casual Dining,NA,"North Indian, South Indian, Chinese, Andhra, Biryani",800,Delivery
14513,Akkad Bakkad,Yes,Yes,3.9,72,Electronic City,Casual Dining,"Bhuna Chicken, Mutton Biryani, Paratha","North Indian, Chinese",600,Delivery
14514,Meat and Eat,Yes,No,3.4,19,Electronic City,Quick Bites,NA,"Fast Food, Burger",500,Delivery
14515,The Chocolate Room,Yes,No,2.8,43,Electronic City,Cafe,NA,"Cafe, Beverages",600,Delivery
14516,Hotel Shruthi,Yes,No,3.5,13,Electronic City,Quick Bites,NA,"North Indian, Biryani",200,Delivery
14517,Kababish Restaurant,Yes,No,0,0,Electronic City,Quick Bites,NA,"North Indian, Chinese, Arabian, Biryani, Rolls",500,Delivery
14518,Crumbz Crunches,Yes,No,3.1,44,Electronic City,Quick Bites,NA,"North Indian, Chinese",450,Delivery
14519,The Milkshake Co and More,Yes,No,0,0,South Bangalore,"Takeaway, Delivery",NA,"Beverages, Desserts, Fast Food",250,Delivery
14520,Mumbai Kulfi,Yes,No,3.7,61,Electronic City,Dessert Parlor,NA,"Ice Cream, Desserts",100,Delivery
14521,Alikemom,Yes,No,0,0,Electronic City,"Takeaway, Delivery",NA,North Indian,300,Delivery
14523,Sky Lounge Bar - Svenska Design Hotel,Yes,Yes,4,537,Electronic City,"Bar, Casual Dining","Cocktails, Biryani, Noodles, Beer, Garlic Bread, Tea, Pizza","North Indian, Pizza, Asian, Italian",1500,Delivery
14524,Foodie Nation,Yes,Yes,3.5,89,Electronic City,Casual Dining,NA,"North Indian, Chinese, Arabian",1000,Delivery
14525,Chilli Park,Yes,No,0,0,Electronic City,Quick Bites,NA,"North Indian, Chinese, Fast Food",300,Delivery
14526,Gilly's Restobar,No,Yes,4.3,1249,Electronic City,"Pub, Casual Dining","Cocktails, Biryani, Roti, Beer, Chilli Pork, Pizza, Potato Wedges","Continental, North Indian, Chinese, Salad",1200,NA
14527,Spicy Tandoor,Yes,No,2.7,39,Electronic City,"Takeaway, Delivery",NA,"North Indian, Chinese, Kebab, Mughlai",400,Delivery
14528,Messy's,Yes,No,3.8,108,Electronic City,Quick Bites,"Pizza, Sandwiches, Burgers, Chaat, Panipuri",Fast Food,400,Delivery
14529,Entree cafe,Yes,No,3.7,56,Electronic City,"Cafe, Bakery","Coffee, Burgers, French Fries","Cafe, Bakery, Desserts",400,Delivery
14530,Rayalaseema Ruchulu SR,Yes,No,3.2,9,Electronic City,"Takeaway, Delivery",NA,"Andhra, South Indian",300,Delivery
14531,Andhra Biryani & Curries,Yes,No,3.1,4,Electronic City,Quick Bites,NA,"North Indian, South Indian, Chinese, Andhra, Biryani",400,Delivery
14533,Reddy's Hyderabadi Biryani,Yes,No,2.7,76,Electronic City,"Takeaway, Delivery",NA,"Chinese, North Indian, South Indian, Biryani, Andhra",500,Delivery
14534,Mughlai Kitchen,Yes,No,0,0,Electronic City,NA,NA,"Mughlai, North Indian, Chinese, Momos",600,Delivery
14535,The Platonic Cafe,Yes,No,0,0,Electronic City,Cafe,NA,"Cafe, Beverages",500,Delivery
14536,Juicy,Yes,No,3.9,37,Electronic City,"Beverage Shop, Quick Bites",NA,"Beverages, Juices, Fast Food",200,Delivery
14537,Flying Cakes,Yes,No,3.1,127,Electronic City,Bakery,"Chocochip Cake, Butterscotch Cake","Bakery, Desserts",500,Delivery
14538,Manasa Cool Cafe,Yes,No,3.2,7,Electronic City,Cafe,NA,"Fast Food, Juices, Cafe, Desserts",300,Delivery
14539,Godavari Delights,Yes,No,3,11,Electronic City,Casual Dining,NA,South Indian,400,Delivery
14541,Domino's Pizza,Yes,No,2.7,477,Electronic City,Quick Bites,"Garlic Bread, Thin Crust Pizza, Pizza Burger","Pizza, Fast Food",400,Delivery
14543,Royal Iceberry,Yes,No,3.4,5,Electronic City,Dessert Parlor,NA,Desserts,200,Delivery
14544,Biryani Darbar,Yes,No,3.3,12,Electronic City,Casual Dining,NA,"Biryani, Chinese",600,Delivery
14545,Petoo,Yes,No,3.6,55,Electronic City,Food Court,"Biryani, Chaat","North Indian, Fast Food, Street Food",400,Delivery
14546,Just Cakes,Yes,No,3.4,22,Electronic City,Bakery,NA,Bakery,350,Delivery
14547,Andhra Amigos,Yes,No,3.6,81,Electronic City,Casual Dining,NA,"Andhra, North Indian, Biryani",350,Delivery
14548,Kritunga Restaurant,No,Yes,3.8,473,Electronic City,Casual Dining,"Brain Fry, Mutton Biryani, Bamboo Chicken, Chicken Biryani, Mutton Curry, Kulcha, Butter Naan","Andhra, Biryani, North Indian, Chinese",650,Delivery
14549,Shake The Shake,Yes,No,0,0,Electronic City,Beverage Shop,NA,Juices,200,Delivery
14550,McDonald's,Yes,No,3.3,5,Bommanahalli,Quick Bites,NA,"Burger, Fast Food",500,Delivery
14551,Uma Ki Rasoi,Yes,No,3.9,40,Electronic City,Quick Bites,NA,North Indian,250,Delivery
14552,Chick Blast,No,No,3.3,6,Electronic City,Quick Bites,NA,Fast Food,400,Delivery
14553,Today Coffee,Yes,No,0,0,Electronic City,Quick Bites,NA,South Indian,150,Delivery
14554,Sankalp Reddy Restaurant,Yes,No,3.9,33,Electronic City,Quick Bites,NA,"South Indian, Andhra, Biryani",300,Delivery
14555,Millennium Plaza,Yes,No,3.4,19,Electronic City,Casual Dining,NA,North Indian,700,Delivery
14556,Sitara Veg Restaurant,Yes,No,3.9,417,Electronic City,Quick Bites,"Masala Dosa, Chaat, Vada, Sandwiches, Filter Coffee","South Indian, North Indian, Chinese",400,Delivery
14557,Lassi Corner,Yes,No,3.7,28,Electronic City,Beverage Shop,NA,"Beverages, Sandwich",150,Delivery
14558,Sweet Chariot,Yes,No,3,60,Electronic City,Dessert Parlor,"Coffee, Mousse Cup","Bakery, Fast Food",500,Delivery
14559,Seasons,Yes,No,2.9,380,Electronic City,Casual Dining,"Chilli Prawns, Barbeque Chicken, Vegetarian, Shawarma, Noodles, Roti, Mutton Biryani","North Indian, South Indian, Chinese, Seafood, Kerala, Arabian, Juices",1000,Delivery
14560,Cedar Bar & Dive - Hotel Presidency,Yes,No,3.8,49,Electronic City,Bar,Rooftop Ambience,"North Indian, Thai, Chinese, Continental",1200,Delivery
14562,Juicemaker,No,No,3.9,31,Electronic City,Beverage Shop,NA,"Beverages, Fast Food",400,Delivery
14563,Cuppa,Yes,No,3,119,Electronic City,Cafe,"French Fries, Veg Burger, Pancakes, English Breakfast, Omelette","Cafe, Fast Food, Continental",700,Delivery
14564,Lord of Combos,Yes,No,0,0,Electronic City,Quick Bites,NA,North Indian,500,Delivery
14566,Just Bake,Yes,No,3.2,14,Electronic City,"Bakery, Quick Bites",NA,"Bakery, Desserts",400,Delivery
14568,Vinaya Royal Inn,Yes,No,3.1,5,Electronic City,Casual Dining,NA,"North Indian, Chinese",500,Delivery
14569,Bamboo Shades,Yes,No,2.8,48,Electronic City,Casual Dining,NA,"Charcoal Chicken, Chinese, North Indian, Juices, Desserts, Seafood, South Indian",1000,Delivery
14570,Meridian South - A Pure Vegetarian Restaurant,No,No,0,0,Electronic City,Casual Dining,NA,"North Indian, South Indian, Chinese",600,Delivery
14571,Tap House Resto Bar,Yes,Yes,3.4,184,Electronic City,"Casual Dining, Bar",Masala Papad,"Chinese, North Indian, Thai",900,Delivery
14572,Kabab Souq,No,No,3.4,7,Electronic City,Quick Bites,NA,"North Indian, Chinese",400,Delivery
14573,Aagaman Veg,Yes,No,0,0,Electronic City,Casual Dining,NA,"North Indian, Chinese, South Indian",900,Delivery
14576,French Bake House,Yes,No,3.7,91,Electronic City,Bakery,NA,"Bakery, French, Fast Food",200,Delivery
14577,Apsara Ice Cream,No,No,4,67,Electronic City,Dessert Parlor,"Panipuri, Cheesecake, Guava Ice Cream, Almond Ice Cream","Ice Cream, Desserts",200,Delivery
14578,Mesa Deli - Svenska Design Hotel,Yes,Yes,3.2,9,Electronic City,Casual Dining,NA,"North Indian, Italian",600,Delivery
14579,Indian Kitchen - Hotel Presidency,Yes,No,3,8,Electronic City,Casual Dining,NA,"Fast Food, North Indian, Finger Food",1000,Delivery
14580,Salt N Pepper,No,No,3.6,74,Electronic City,Casual Dining,Fish Fry,"North Indian, Chinese",500,Delivery
14581,Punjab Calling,Yes,No,3.7,10,Electronic City,Quick Bites,NA,North Indian,400,Delivery
14582,Hanchi Thinnuva,Yes,No,3.5,17,Electronic City,Quick Bites,NA,South Indian,300,Delivery
14583,Venadu Restaurant,No,No,3.4,7,Electronic City,Casual Dining,NA,Kerala,700,Delivery
14584,Chill Out Cafe,No,No,3.5,11,Electronic City,Quick Bites,NA,"North Indian, Chinese",350,Delivery
14585,Trisha's Kitchen,Yes,No,3.2,4,Electronic City,"Takeaway, Delivery",NA,"North Indian, Chinese",300,Delivery
14586,Just Homely,Yes,No,0,0,Electronic City,"Takeaway, Delivery",NA,North Indian,300,Delivery
14587,Nandanam Family Restaurant,No,No,3.3,4,Electronic City,Quick Bites,NA,"Kerala, Chinese",400,Delivery
14588,Hello Cafe,No,No,0,0,Electronic City,Quick Bites,NA,"Fast Food, Beverages",200,Delivery
14589,Food Point Family Restauarant,Yes,No,3.3,6,Electronic City,Casual Dining,NA,"North Indian, Chinese, Mughlai",700,Delivery
14590,Soul Curry Restaurant,No,No,3.6,18,Electronic City,"Casual Dining, Bar",NA,"Andhra, Chinese, North Indian, Biryani",600,Delivery
14591,Time Traveller - Sai Vishram,Yes,No,4.2,882,Electronic City,Casual Dining,"Salads, Veg Buffet, Dahi Vada, Pasta, Vegetarian, Halwa, Noodles","Continental, North Indian, South Indian, Chinese",1100,Delivery
14592,Ragi Nadu,No,No,3.5,13,Electronic City,Quick Bites,NA,"South Indian, Biryani, Chinese",450,Delivery
14593,Rolls On Wheels,No,No,2.7,23,Electronic City,Quick Bites,NA,"Fast Food, Rolls, Momos",300,Delivery
14594,Mesa Lounge Bar - Svenska Design Hotel,No,Yes,3.5,49,Electronic City,Lounge,NA,"North Indian, Pizza, Asian, Italian",1500,Delivery
14595,Pulla Reddy Sweets,No,No,3,22,Electronic City,Dessert Parlor,NA,Mithai,250,Delivery
14596,Food 4 U,No,No,3.6,34,Electronic City,Quick Bites,NA,North Indian,400,Delivery
14597,Half Girlfriend,Yes,No,0,0,Electronic City,Quick Bites,NA,"Biryani, North Indian, Chinese, Fast Food",600,Delivery
14598,The Hungry,Yes,No,3.6,20,Electronic City,Quick Bites,NA,"Fast Food, Chinese",400,Delivery
14599,Green Family Bar & Restaurant,No,No,3,57,Electronic City,Casual Dining,"Tandoori Chicken, Biryani, Masala Papad","North Indian, Chinese, Andhra",1000,Delivery
14601,Chinmayee's,No,No,3.1,83,Electronic City,Casual Dining,"Chicken Lollipop, Chilli Chicken","North Indian, Chinese",700,Delivery
14602,Tellimagic Restaurant,Yes,No,3.5,12,Electronic City,Quick Bites,NA,"North Indian, South Indian, Chinese",400,Delivery
14605,SFC Kabab Corner,No,No,3.6,14,Electronic City,Quick Bites,NA,"Chinese, Andhra",350,Delivery
14606,Royal Chowpatty,No,No,3.7,14,Electronic City,Quick Bites,NA,Street Food,100,Delivery
14607,New Aastha,Yes,No,3.6,34,Electronic City,Quick Bites,NA,"North Indian, Chinese",250,Delivery
14608,Food Club Restaurant,No,No,3.7,45,Electronic City,Casual Dining,NA,"North Indian, Chinese",500,Delivery
